status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang;;;;
"1243689257929072640,44728980,2020-03-28T00:00:00Z,ANCALERTS,""Nearly 100,000 coronavirus cases in US: tracker #COVID19 https://t.co/sKwut3Waem"",TweetDeck,,,,FALSE,FALSE,5450,3,,,,4867852,777,,2009-06-04T21:26:24Z,TRUE,en";;;;
1243689258545709056,15872418,2020-03-28T00:00:00Z,ABSCBNNews,'Like wartime': Filipino doctors overwhelmed by #COVID19 deluge https://t.co/0yWzdkl8Uw,TweetDeck,,,,FALSE,FALSE,1073,10,,,,6763409,1075,,2008-08-16T10:09:33Z,TRUE,en;;;;
1243689258457665541,92174767,2020-03-28T00:00:00Z,DZMMTeleRadyo,Catarman isinailalim sa enhanced community quarantine dahil sa #COVID19 https://t.co/DyMWry3HDL,TweetDeck,,,,FALSE,FALSE,573,3,,,,1351275,164,,2009-11-24T02:03:16Z,TRUE,tl;;;;
"1243689257224376322,2400082873,2020-03-28T00:00:00Z,gorebiobio,""#Toquedequeda A partir de las 22:00 horas y hasta las 5:00am, continúa el toque de queda en todo el territorio nacional, en el marco de las medidas adoptadas por el brote de #Covid19. Recuerda #CuidemonosEntreTodos #PlanCoronavirus https://t.co/p1SIRVe8Ac"",Twitter Media Studio,,,,FALSE,FALSE,6299,6,,,,26955,851,,2014-03-20T15:52:27Z,TRUE,es";;;;
"1243689257492832256,858044279138263041,2020-03-28T00:00:00Z,ahoramasoficial,""La mortalidad por el #COVID19 es baja, es importante no entrar en pánico. ";;;;
;;;;
"#AhoraMás con @urielestradatv por @amastv. https://t.co/Y0EG9496eD"",Twitter Media Studio,,,,FALSE,FALSE,2648,0,,,,4712,402,,2017-04-28T19:44:32Z,FALSE,es";;;;
1243689258449129472,25950355,2020-03-28T00:00:00Z,NEJM,Correspondence: Epidemiology of Covid-19. #COVID19 #SARSCoV2,Twitter for Advertisers,,,,FALSE,FALSE,1019,126,,,,675288,394,,2009-03-23T04:10:07Z,TRUE,en;;;;
"1243689258826625031,14269008,2020-03-28T00:00:00Z,TheTyee,""Advocates have long argued that a safe supply would reduce overdose deaths — a call as urgent as ever amid the #COVID19 crisis. #vanpoli #cdnpoli";;;;
"https://t.co/dzIn9u6fba"",TweetDeck,,,,FALSE,FALSE,17658,3,,,,56095,1898,,2008-03-31T19:58:22Z,TRUE,en";;;;
"1243689258596159488,171548670,2020-03-28T00:00:00Z,RadioNLNews,""Amid the #COVID19 pandemic, the @BCTruckingAssoc says Canada's supply chains remain healthy. https://t.co/Mrl7vRDohk https://t.co/dYlxycESqA"",TweetDeck,,,,FALSE,FALSE,498,0,,,,6930,2137,,2010-07-27T16:17:02Z,FALSE,en";;;;
1243689259720011776,2532360218,2020-03-28T00:00:00Z,thaich8news,ปัญหาไข่ไก่แพง ที่รัฐบาลพยายามแก้ปัญหา แต่จะตอบโจทย์การแก้ปัญหาให้ประชาชนซื้อไข่ในราคาถูกหรือไม่ ข่าวเข้มวันนี้มีคำตอบ ดูเพิ่มเติมได้ที่ &gt;;;;
"1243689258851995648,67690947,2020-03-28T00:00:00Z,ONUinfo,""#Coronavirus🎙️#COVID19 :";;;;
;;;;
➔ @UN_PGA, CSNU, @UNECOSOC &amp;;;;
➔ 11M d’enfants privés de repas scolaires (@WFP_FR);;;;
➔ Garantir la livraison du matériel médicale (@UNECE);;;;
"➔ Assurer l'enseignement à + de 1,5Mds d’apprenants (@UNESCO_fr) https://t.co/D8sbRNnKwo"",TweetDeck,,,,FALSE,FALSE,18047,3,,,,101957,10337,,2009-08-21T19:13:37Z,TRUE,fr";;;;
"1243689257241391104,42705538,2020-03-28T00:00:00Z,_ElFaro_,""#COVID19 | El presidente del Colegio Médico, Milton Brizuela, cree que el país todavía está a tiempo para enfrentar la crisis, pero lamenta que las decisiones que se están tomando se hacen “desde un punto de vista más político que técnico”.";;;;
 ;;;;
" https://t.co/eYLzxiMuDY"",TweetDeck,,,,FALSE,FALSE,3707,90,,,,501370,642,,2009-05-26T20:01:23Z,TRUE,es";;;;
